name,over,under,prop_k,commence_time
Aaron Nola,-132,104,5.5,2023-05-09 18:40:00
Alek Manoah,114,-146,5.5,2023-05-09 18:40:00
Andrew Heaney,-130,104,6.5,2023-05-09 21:40:00
Brandon Pfaadt,112,-142,4.5,2023-05-09 21:40:00
Charlie Morton,-130,104,5.5,2023-05-09 19:20:00
Clarke Schmidt,-106,-122,6.5,2023-05-09 19:05:00
Connor Seabold,-126,-102,3.5,2023-05-09 18:35:00
Drew Rucinski,106,-134,3.5,2023-05-09 19:05:00
Eric Lauer,118,-150,5.5,2023-05-09 19:40:00
Framber Valdez,-106,-118,5.5,2023-05-09 21:38:00
George Kirby,124,-158,6.5,2023-05-09 21:40:00
Grayson Rodriguez,100,-128,5.5,2023-05-09 18:35:00
Jack Flaherty,122,-156,6.5,2023-05-09 19:40:00
Jesus Luzardo,-118,-108,5.5,2023-05-09 21:40:00
Jordan Lyles,-104,-122,3.5,2023-05-09 19:40:00
Logan Webb,114,-146,5.5,2023-05-09 21:45:00
Louie Varland,-134,106,4.5,2023-05-09 19:40:00
Lucas Giolito,-112,-116,5.5,2023-05-09 19:40:00
Luis Ortiz,-146,114,4.5,2023-05-09 18:35:00
Luke Weaver,-106,-118,4.5,2023-05-09 18:40:00
Max Scherzer,-106,-122,6.5,2023-05-09 18:40:00
Michael Lorenzen,-152,120,3.5,2023-05-09 18:10:00
Michael Wacha,-104,-122,4.5,2023-05-09 19:40:00
Nick Pivetta,-154,120,4.5,2023-05-09 19:20:00
Noah Syndergaard,-152,120,3.5,2023-05-09 19:40:00
Patrick Corbin,-108,-118,4.5,2023-05-09 21:45:00
Shane Bieber,-134,106,6.5,2023-05-09 18:10:00
Shohei Ohtani,-108,-118,7.5,2023-05-09 21:38:00
Zach Eflin,116,-148,4.5,2023-05-09 18:35:00
Antonio Senzatela,108,-136,3.5,2023-05-10 12:35:00
Brad Keller,-182,142,2.5,2023-05-10 19:40:00
Brayan Bello,-108,-116,4.5,2023-05-10 19:20:00
Clayton Kershaw,-138,108,7.5,2023-05-10 13:40:00
Cristian Javier,106,-134,6.5,2023-05-10 16:07:00
Dean Kremer,120,-152,4.5,2023-05-10 18:35:00
Eduardo Rodriguez,114,-144,5.5,2023-05-10 13:10:00
Edward Cabrera,116,-148,5.5,2023-05-10 15:40:00
Griffin Canning,-138,108,4.5,2023-05-10 16:07:00
Hunter Greene,-158,124,5.5,2023-05-10 18:40:00
Jhony Brito,-116,-110,4.5,2023-05-10 12:35:00
Jordan Montgomery,-116,-110,5.5,2023-05-10 19:40:00
Josiah Gray,104,-132,5.5,2023-05-10 15:45:00
Justin Steele,112,-144,5.5,2023-05-10 19:40:00
Justin Verlander,102,-130,6.5,2023-05-10 18:40:00
Kevin Gausman,-134,104,6.5,2023-05-10 16:05:00
Kyle Muller,-154,120,3.5,2023-05-10 12:35:00
Lance Lynn,-144,112,5.5,2023-05-10 19:40:00
Luis Castillo,-154,120,6.5,2023-05-10 15:40:00
Merrill Kelly,130,-166,5.5,2023-05-10 15:40:00
Pablo Lopez,112,-144,6.5,2023-05-10 19:40:00
Peyton Battenfield,-138,108,4.5,2023-05-10 13:10:00
Rich Hill,108,-136,5.5,2023-05-10 12:35:00
Sean Manaea,-154,120,4.5,2023-05-10 15:45:00
Seth Lugo,112,-142,5.5,2023-05-10 19:40:00
Wade Miley,136,-174,4.5,2023-05-10 13:40:00
Zack Wheeler,-108,-118,6.5,2023-05-10 16:05:00
Alex Cobb,-110,-116,4.5,2023-05-11 21:40:00
Bailey Ober,-136,106,4.5,2023-05-11 13:10:00
Brady Singer,118,-150,4.5,2023-05-11 14:10:00
Domingo German,130,-166,5.5,2023-05-11 19:05:00
Drew Rasmussen,-148,116,4.5,2023-05-11 19:05:00
Kodai Senga,122,-156,5.5,2023-05-11 12:35:00
Mike Clevinger,-116,-112,4.5,2023-05-11 14:10:00
Yu Darvish,-112,-112,6.5,2023-05-11 13:10:00
Adam Wainwright,110,-140,3.5,2023-05-12 19:10:00
Austin Gomber,-116,-110,3.5,2023-05-12 20:40:00
Blake Snell,116,-148,6.5,2023-05-12 22:10:00
Chris Bassitt,-132,104,4.5,2023-05-12 19:07:00
Corbin Burnes,-126,-102,6.5,2023-05-12 20:10:00
Drew Smyly,-122,-106,4.5,2023-05-12 20:10:00
Dustin May,-144,114,4.5,2023-05-12 22:10:00
Eury Perez,-126,-102,4.5,2023-05-12 18:40:00
Graham Ashcraft,-136,108,3.5,2023-05-12 18:40:00
J.P. France,100,-128,4.5,2023-05-12 20:10:00
James Paxton,-134,106,4.5,2023-05-12 19:10:00
Johan Oviedo,126,-160,4.5,2023-05-12 19:05:00
Ken Waldichuk,-106,-122,5.5,2023-05-12 21:40:00
Kyle Bradish,-144,112,4.5,2023-05-12 19:05:00
Logan Allen,-138,108,4.5,2023-05-12 19:10:00
MacKenzie Gore,-108,-118,5.5,2023-05-12 19:05:00
Marco Gonzales,120,-152,4.5,2023-05-12 18:40:00
Martin Perez,-112,-112,4.5,2023-05-12 21:40:00
Matt Boyd,116,-146,5.5,2023-05-12 18:40:00
Michael Kopech,-132,104,4.5,2023-05-12 20:10:00
Sonny Gray,120,-152,6.5,2023-05-12 20:10:00
Spencer Strider,110,-140,8.5,2023-05-12 19:07:00
Taijuan Walker,-152,120,3.5,2023-05-12 20:40:00
Tyler Anderson,-154,120,3.5,2023-05-12 19:10:00
Tylor Megill,-148,116,3.5,2023-05-12 19:05:00
Adrian Houser,-172,134,3.5,2023-05-13 19:10:00
Alex Faedo,-118,-106,3.5,2023-05-13 13:10:00
Anthony DeSclafani,-122,-104,3.5,2023-05-13 20:10:00
Brandon Bielak,-152,120,3.5,2023-05-13 19:15:00
Bryce Elder,114,-146,4.5,2023-05-13 15:07:00
Bryce Miller,106,-134,5.5,2023-05-13 13:10:00
Cal Quantrill,-156,122,3.5,2023-05-13 18:10:00
Chris Sale,114,-146,6.5,2023-05-13 16:10:00
Dylan Cease,108,-136,6.5,2023-05-13 19:15:00
Hayden Wesneski,114,-146,4.5,2023-05-13 14:10:00
JP Sears,-110,-116,5.5,2023-05-13 16:07:00
Joe Musgrove,104,-132,5.5,2023-05-13 19:15:00
Joe Ryan,118,-150,7.5,2023-05-13 14:10:00
Joey Lucchesi,-146,114,3.5,2023-05-13 16:05:00
Jon Gray,-128,100,5.5,2023-05-13 16:07:00
Jose Berrios,104,-132,5.5,2023-05-13 15:07:00
Julio Urias,-146,116,4.5,2023-05-13 19:15:00
Nestor Cortes,-122,-102,4.5,2023-05-13 13:05:00
Ranger Suarez,-106,-120,3.5,2023-05-13 20:10:00
Reid Detmers,118,-150,5.5,2023-05-13 18:10:00
Roansy Contreras,122,-154,4.5,2023-05-13 19:05:00
Ryan Feltner,-140,110,3.5,2023-05-13 20:10:00
Shane McClanahan,108,-136,6.5,2023-05-13 13:05:00
Steven Matz,-110,-116,4.5,2023-05-13 16:10:00
Trevor Williams,-102,-124,3.5,2023-05-13 16:05:00
Tyler Wells,-150,118,4.5,2023-05-13 19:05:00
Zac Gallen,-150,118,6.5,2023-05-13 20:10:00
Zack Greinke,-108,-118,3.5,2023-05-13 19:10:00
Aaron Nola,130,-166,5.5,2023-05-14 15:10:00
Andrew Heaney,-102,-124,6.5,2023-05-14 16:07:00
Brandon Pfaadt,-120,-106,4.5,2023-05-14 16:10:00
Braxton Garrett,-102,-126,4.5,2023-05-14 13:40:00
Clarke Schmidt,-102,-124,5.5,2023-05-14 13:35:00
Corey Kluber,118,-150,4.5,2023-05-14 19:10:00
Hunter Brown,-150,118,4.5,2023-05-14 14:10:00
Jake Irvin,-112,-112,3.5,2023-05-14 16:35:00
Joey Wentz,-116,-110,4.5,2023-05-14 13:40:00
Jordan Lyles,-110,-116,4.5,2023-05-14 14:10:00
Kyle Freeland,-116,-110,3.5,2023-05-14 15:10:00
Kyle Gibson,-128,100,4.5,2023-05-14 13:35:00
Logan Gilbert,126,-160,6.5,2023-05-14 13:40:00
Logan Webb,100,-128,5.5,2023-05-14 16:10:00
Louie Varland,104,-134,5.5,2023-05-14 14:10:00
Lucas Giolito,-130,104,5.5,2023-05-14 14:10:00
Luke Weaver,-102,-124,4.5,2023-05-14 13:40:00
Marcus Stroman,108,-138,5.5,2023-05-14 14:10:00
Max Scherzer,-106,-122,5.5,2023-05-14 16:35:00
Miles Mikolas,-144,112,3.5,2023-05-14 19:10:00
Mitch Keller,-150,118,4.5,2023-05-14 13:35:00
Patrick Sandoval,-120,-106,4.5,2023-05-14 11:35:00
Tanner Bibee,-108,-118,5.5,2023-05-14 11:35:00
Tony Gonsolin,-102,-126,4.5,2023-05-14 16:10:00
Yusei Kikuchi,100,-128,5.5,2023-05-14 13:37:00
Zach Eflin,-106,-122,4.5,2023-05-14 13:35:00
Alek Manoah,-150,118,4.5,2023-05-15 19:07:00
Alex Wood,-140,110,3.5,2023-05-15 21:45:00
Brad Keller,100,-128,3.5,2023-05-15 21:40:00
Charlie Morton,-110,-116,6.5,2023-05-15 20:05:00
Connor Seabold,-112,-112,3.5,2023-05-15 20:40:00
David Peterson,130,-166,5.5,2023-05-15 16:05:00
Drew Rucinski,-102,-126,3.5,2023-05-15 21:40:00
Framber Valdez,-128,102,6.5,2023-05-15 20:10:00
Freddy Peralta,-142,112,5.5,2023-05-15 19:45:00
George Kirby,130,-166,4.5,2023-05-15 19:10:00
Grayson Rodriguez,-102,-126,5.5,2023-05-15 18:35:00
Hunter Greene,-124,-102,5.5,2023-05-15 20:40:00
Jack Flaherty,102,-128,5.5,2023-05-15 19:45:00
Jameson Taillon,-108,-118,4.5,2023-05-15 20:10:00
Merrill Kelly,112,-142,6.5,2023-05-15 21:40:00
Michael Wacha,-118,-108,4.5,2023-05-15 21:40:00
Noah Syndergaard,-134,104,3.5,2023-05-15 22:10:00
Pablo Lopez,-160,126,5.5,2023-05-15 22:10:00
Patrick Corbin,-152,120,3.5,2023-05-15 16:05:00
Shohei Ohtani,120,-150,7.5,2023-05-15 18:35:00
Tanner Houck,-132,104,4.5,2023-05-15 19:10:00
Alex Cobb,122,-156,5.5,2023-05-16 21:45:00
Bailey Ober,-132,104,4.5,2023-05-16 22:10:00
Brady Singer,-110,-116,4.5,2023-05-16 21:40:00
Clayton Kershaw,108,-138,7.5,2023-05-16 22:10:00
Cristian Javier,-106,-122,7.5,2023-05-16 20:10:00
Dane Dunning,-164,128,3.5,2023-05-16 20:05:00
Dean Kremer,106,-134,4.5,2023-05-16 18:35:00
Domingo German,-154,122,4.5,2023-05-16 19:07:00
Jesus Luzardo,-132,104,5.5,2023-05-16 18:40:00
Jordan Montgomery,-152,120,5.5,2023-05-16 19:45:00
Josiah Gray,-116,-110,4.5,2023-05-16 18:40:00
Justin Steele,110,-140,4.5,2023-05-16 20:10:00
Justin Verlander,-140,110,6.5,2023-05-16 19:10:00
Kevin Gausman,120,-154,7.5,2023-05-16 19:07:00
Kyle Muller,124,-158,4.5,2023-05-16 21:40:00
Luis Castillo,120,-152,5.5,2023-05-16 19:10:00
Luis Ortiz,110,-140,4.5,2023-05-16 18:40:00
Michael Lorenzen,104,-134,4.5,2023-05-16 18:40:00
Nick Pivetta,118,-150,5.5,2023-05-16 19:10:00
Seth Lugo,112,-142,5.5,2023-05-16 21:40:00
Wade Miley,118,-150,3.5,2023-05-16 19:45:00
Zack Wheeler,-148,116,6.5,2023-05-16 21:45:00
Austin Gomber,-122,-106,3.5,2023-05-17 15:10:00
Brayan Bello,122,-156,5.5,2023-05-17 19:10:00
Chris Bassitt,110,-140,5.5,2023-05-17 19:07:00
Drew Smyly,-108,-118,3.5,2023-05-17 20:10:00
Dustin May,124,-158,5.5,2023-05-17 15:10:00
